Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
03-04-2022,71034,32291.0,3.38,1,56,32,35,11,19,7,12,1.0336141322534529,60747.857142857145,60747.857142857145
04-04-2022,66112,35727.0,4.64,1,56,30,18,14,11,15,4,1.0336141322534529,60988.857142857145,60988.857142857145
05-04-2022,61654,25920.0,4.35,1,52,28,8,10,16,5,0,1.0336141322534529,62025.71428571428,62025.71428571428
06-04-2022,68009,39518.0,4.1,1,53,27,24,14,14,5,0,1.0336141322534529,62995.0,62995.0
07-04-2022,65840,34135.0,4.19,1,55,27,36,14,14,8,0,1.0336141322534529,64647.42857142857,64647.42857142857
08-04-2022,60790,35106.0,4.36,1,57,31,0,21,22,19,19,1.0336141322534529,65194.857142857145,65194.857142857145
09-04-2022,70727,38970.0,3.88,1,62,32,11,17,0,17,0,1.0336141322534529,66309.42857142857,66309.42857142857
10-04-2022,66593,31206.0,3.79,1,51,32,33,16,0,16,0,1.0336141322534529,65675.0,65675.0
11-04-2022,63223,34547.0,4.72,1,56,25,9,14,0,18,6,1.0336141322534529,65262.28571428572,65262.28571428572
12-04-2022,72567,40468.0,4.32,1,54,31,35,25,0,23,6,1.0336141322534529,66821.28571428571,66821.28571428571
13-04-2022,88748,38558.0,4.82,1,59,33,17,14,0,21,0,1.0336141322534529,69784.0,69784.0
14-04-2022,82722,33678.0,5.11,1,58,32,24,12,0,7,7,1.0336141322534529,72195.71428571429,72195.71428571429
15-04-2022,75110,34241.0,4.0,1,57,30,0,13,0,5,8,1.0336141322534529,74241.42857142857,74241.42857142857
16-04-2022,76746,31574.0,4.62,1,58,31,26,12,0,17,8,1.0336141322534529,75101.28571428571,75101.28571428571
17-04-2022,68299,26421.0,4.9,1,56,26,23,18,13,0,0,1.0336141322534529,75345.0,75345.0
18-04-2022,64157,29720.0,3.84,1,56,25,39,11,0,8,8,1.0336141322534529,75478.42857142857,75478.42857142857
19-04-2022,67858,28536.0,4.15,1,46,24,27,12,0,0,0,1.0336141322534529,74805.71428571429,74805.71428571429
20-04-2022,66745,30780.0,5.14,1,50,25,21,11,0,14,7,1.0336141322534529,71662.42857142857,71662.42857142857
21-04-2022,61278,30585.0,4.32,1,48,23,0,14,32,12,10,1.0336141322534529,68599.0,68599.0
22-04-2022,63084,28563.0,3.12,1,51,27,13,16,30,14,0,1.0336141322534529,66881.0,66881.0
23-04-2022,71069,34741.0,3.75,1,57,30,42,12,12,12,5,1.0336141322534529,66070.0,66070.0
24-04-2022,75438,29440.0,4.28,1,54,27,19,11,0,0,6,1.0336141322534529,67089.85714285714,67089.85714285714
