,Date,Piligrims,Tonsures,Hundi,Special Day
490,06-05-2023,76392,36248.0,2.83,"Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam ,Annamacharya Jayanthi"
491,07-05-2023,74876,30695.0,3.56,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
492,08-05-2023,65904,29290.0,3.57,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
493,09-05-2023,65237,22926.0,3.5,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
494,10-05-2023,61510,29399.0,3.59,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
495,11-05-2023,67853,33381.0,3.19,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
496,12-05-2023,71763,35399.0,3.19,Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam
497,13-05-2023,87007,43022.0,3.08,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
498,14-05-2023,87022,36187.0,3.4,"Karivetingaparam Sri Venugopalaswamivari Brahmotsavams , Hanuman Jayanthi"
499,15-05-2023,70366,38653.0,4.32,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
500,16-05-2023,77436,38980.0,3.77,"Karivetingaparam Sri Venugopalaswamivari Brahmotsavams , Tirupati Gangajathara"
501,17-05-2023,79207,41427.0,3.19,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
502,18-05-2023,66820,36905.0,3.29,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
503,19-05-2023,81833,33860.0,3.31,"Karivetingaparam Sri Venugopalaswamivari Brahmotsavams ,  Amavasya"
504,20-05-2023,85297,37392.0,3.71,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
505,21-05-2023,84539,39812.0,3.72,Karivetingaparam Sri Venugopalaswamivari Brahmotsavams
506,22-05-2023,78349,39634.0,4.56,normal
507,23-05-2023,75875,35439.0,4.09,normal
508,24-05-2023,74995,38663.0,3.6,normal
509,25-05-2023,74583,40343.0,3.37,normal
510,26-05-2023,79486,40250.0,3.72,Tirupati Sri Govindaraja swamy Temple Brahmotsavam
511,27-05-2023,88604,51251.0,3.53,Tirupati Sri Govindaraja swamy Temple Brahmotsavam
512,28-05-2023,78818,39076.0,3.66,Tirupati Sri Govindaraja swamy Temple Brahmotsavam
513,29-05-2023,78126,37597.0,3.74,Tirupati Sri Govindaraja swamy Temple Brahmotsavam
514,30-05-2023,75871,32859.0,3.27,"Tirupati Sri Govindaraja swamy Temple Brahmotsavam, Tiruchanur Sri Padmavati Ammavari Float Festival"
515,31-05-2023,80284,34096.0,3.71,"Tirupati Sri Govindaraja swamy Temple Brahmotsavam, Tiruchanur Sri Padmavati Ammavari Float Festival , Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
516,01-06-2023,62407,33895.0,4.56,"Tirupati Sri Govindaraja swamy Temple Brahmotsavam, Tiruchanur Sri Padmavati Ammavari Float Festival , Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
517,02-06-2023,76963,37422.0,2.97,"Tirupati Sri Govindaraja swamy Temple Brahmotsavam, Tiruchanur Sri Padmavati Ammavari Float Festival , Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams , Tirumala Srivari Jyesthabhishekam"
518,03-06-2023,85366,48183.0,4.0,"Tirupati Sri Govindaraja swamy Temple Brahmotsavam, Tiruchanur Sri Padmavati Ammavari Float Festival , Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams , Tirumala Srivari Jyesthabhishekam"
519,04-06-2023,87434,39957.0,4.14,"Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams , Tirumala Srivari Jyesthabhishekam , Yeruvakapunnami , Purnima"
520,05-06-2023,79974,37052.0,3.77,"Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
