Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
86721,39559,3.87,75,43,0,28,0,29,0,962,85.46000000000001,1716057000.0,1,3,83008.26222627738,1,1.0336141322534529,79121.28571428571,79121.28571428571
85825,36146,4.4,77,43,0,37,0,0,0,1275,81.86,1716143400.0,0,1,75143.06222627738,1,1.0336141322534529,81265.57142857143,81265.57142857143
80744,35726,3.67,70,46,0,31,0,31,0,1275,84.56,1716229800.0,0,2,74196.26222627738,1,1.0336141322534529,81974.28571428571,81974.28571428571
80048,35403,4.17,70,39,0,30,0,30,0,1621,83.48,1716316200.0,0,4,77669.86222627737,1,1.0336141322534529,81705.42857142857,81705.42857142857
65416,36128,3.51,81,48,0,47,0,55,0,1308,89.6,1716402600.0,0,5,65964.26222627738,1,1.0336141322534529,80140.71428571429,80140.71428571429
70668,38036,3.64,100,93,0,86,0,93,79,1275,93.56,1716489000.0,0,2,74196.26222627738,1,1.0336141322534529,80020.42857142857,80020.42857142857
83866,44479,4.15,90,52,0,43,0,35,0,1308,91.4,1716575400.0,1,1,74974.75111516626,1,1.0336141322534529,79041.14285714286,79041.14285714286
89161,36450,3.77,80,44,96,24,0,0,0,962,91.4,1716661800.0,1,1,74974.75111516626,1,1.0336141322534529,79389.71428571429,79389.71428571429
81831,34542,4.25,77,43,89,33,0,0,0,1308,93.92,1716748200.0,0,1,74974.75111516626,1,1.0336141322534529,78819.14285714286,78819.14285714286
76381,33509,3.85,73,37,0,27,0,0,0,839,94.82,1716834600.0,0,1,74974.75111516626,1,1.0336141322534529,78195.85714285714,78195.85714285714
73811,34901,3.19,72,35,0,26,0,0,0,839,95.72,1716921000.0,0,2,72680.26222627738,1,1.0336141322534529,77304.85714285714,77304.85714285714
64115,32711,4.23,73,37,0,22,0,0,0,1308,97.16,1717007400.0,0,1,73161.76222627738,1,1.0336141322534529,77119.0,77119.0
67873,33532,3.93,80,40,0,24,0,0,0,1308,97.88,1717093800.0,0,2,67929.86222627737,1,1.0336141322534529,76719.71428571429,76719.71428571429
78686,37888,3.54,75,42,0,30,0,32,0,1275,94.28,1717180200.0,1,2,73363.26222627738,1,1.0336141322534529,75979.71428571429,75979.71428571429
83740,35462,3.71,78,39,0,16,0,0,0,962,93.56,1717266600.0,1,2,80623.46222627738,1,1.0336141322534529,75205.28571428571,75205.28571428571
76362,33902,3.86,66,32,0,27,0,0,0,962,80.6,1717353000.0,0,2,73363.26222627738,1,1.0336141322534529,74424.0,74424.0
76291,28495,3.14,66,25,0,12,0,0,0,1275,86.18,1717439400.0,0,2,73363.26222627738,1,1.0336141322534529,74411.14285714286,74411.14285714286
67320,27919,4.03,68,28,0,20,0,30,0,1275,85.46000000000001,1717525800.0,0,2,73363.26222627738,1,1.0336141322534529,73483.85714285714,73483.85714285714
62161,28923,3.35,70,32,0,17,0,0,0,967,81.86,1717612200.0,0,2,63360.26222627737,1,1.0336141322534529,73204.71428571429,73204.71428571429
63830,30810,3.2,71,36,0,30,0,0,0,962,81.14,1717698600.0,0,1,68156.49102312156,1,1.0336141322534529,72627.14285714286,72627.14285714286
79398,43557,2.9,77,45,0,30,0,0,82,1299,85.64,1717785000.0,1,1,68156.49102312156,1,1.0336141322534529,72728.85714285714,72728.85714285714
81744,36833,3.34,75,35,0,20,0,0,0,962,84.74000000000001,1717871400.0,1,1,68156.49102312156,1,1.0336141322534529,72443.71428571429,72443.71428571429
78064,33869,3.7,68,34,0,29,0,0,0,1621,86.72,1717957800.0,0,1,68156.49102312156,1,1.0336141322534529,72686.85714285714,72686.85714285714
76665,31377,4.58,69,35,0,30,0,31,0,1621,85.46000000000001,1718044200.0,0,1,68156.49102312156,1,1.0336141322534529,72740.28571428571,72740.28571428571
75068,33372,3.48,72,35,0,28,0,29,0,1621,79.34,1718130600.0,0,1,68156.49102312156,1,1.0336141322534529,73847.14285714286,73847.14285714286
61499,33384,3.04,80,40,0,30,0,0,0,1621,83.48,1718217000.0,0,1,68156.49102312156,1,1.0336141322534529,73752.57142857143,73752.57142857143
66782,36229,3.71,81,40,0,26,0,31,0,1308,83.48,1718303400.0,0,1,67057.06222627738,1,1.0336141322534529,74174.28571428571,74174.28571428571
82886,44234,4.09,83,50,0,30,0,29,0,839,85.46000000000001,1718389800.0,1,1,68156.49102312156,1,1.0336141322534529,74672.57142857143,74672.57142857143
69870,42119,4.0,82,48,92,35,94,0,0,1299,86.53999999999999,1718476200.0,1,2,69527.46222627738,1,1.0336141322534529,72976.28571428571,72976.28571428571
